customer_type,en_title,fa_title,en_description,fa_description,price,category,sim_type,auto_renewal,giftable,upc_code,duration_unit,duration,type,giftable_code,account_type,en_details,fa_details,en_tags,fa_tags
postpaid,Weekly 200MB Internet,بسته هفتگی 200 مگابایت,,,44000,normal,fd,permitted,no,63354,day,7,data,,corporate,,,,,,,
postpaid,Weekly 300MB Internet,بسته هفتگی 300 مگابایت,,,55000,normal,fd,permitted,no,63355,day,7,data,,corporate,,,,,,,
postpaid,Weekly 500MB Internet,بسته هفتگی 500 مگابایت,,,70000,normal,fd,permitted,no,63356,day,7,data,,corporate,,,,,,,
postpaid,Weekly 750MB Internet,بسته هفتگی 750 مگابایت,,,83000,normal,fd,permitted,no,63357,day,7,data,,corporate,,,,,,,
postpaid,Weekly 1.5GB Internet,بسته هفتگی 1.5 گیگابایت,,,109000,normal,fd,permitted,no,63358,day,7,data,,corporate,,,,,,,
postpaid,Weekly 2.5GB Internet,بسته هفتگی 2.5 گیگابایت,,,130000,normal,fd,permitted,no,63359,day,7,data,,corporate,,,,,,,
postpaid,Weekly 5GB Internet,بسته هفتگی 5 گیگابایت,,,180000,normal,fd,permitted,no,63360,day,7,data,,corporate,,,,,,,
prepaid,5 days 6000 Tomans shared fund pre,بسته 6000 تومانی چندکاربره 5 روزه,,,50000,shared,fd,forbidden,no,5SHFUN,day,5,data,,individual,,,,,,,
postpaid,3Days 2.5GB Internet,بسته 3روزه 2.5 گیگابایت,,,110000,normal,fd,forbidden,no,63353,day,3,data,,corporate,,,,,,,
prepaid,30 Days 3GB,30 روزه 3گیگ,"In case of purchasing more than one package, the ones with closer expiry dates will have higher usage priority; shared account, only-night and gift packages though have higher usage priority.",درنظر داشته باشید در صورت خرید بیش از یک بسته، اولویت استفاده با بسته ای خواهد بود که تاریخ انقضای نزدیکتری دارد؛ بسته های اینترنت هدیه، شبانه خالص و چندکاربره اولویت مصرف بالاتری دارند.,190000,normal,fd,permitted,yes,61416,day,30,data,64416,individual,,,,,,,
prepaid,30 Days 4GB,30 روزه 4گیگ,"In case of purchasing more than one package, the ones with closer expiry dates will have higher usage priority; shared account, only-night and gift packages though have higher usage priority.",درنظر داشته باشید در صورت خرید بیش از یک بسته، اولویت استفاده با بسته ای خواهد بود که تاریخ انقضای نزدیکتری دارد؛ بسته های اینترنت هدیه، شبانه خالص و چندکاربره اولویت مصرف بالاتری دارند.,213000,normal,fd,permitted,yes,61417,day,30,data,64417,individual,,,,,,,
prepaid,30 Days 5GB,30 روزه 5گیگ,"In case of purchasing more than one package, the ones with closer expiry dates will have higher usage priority; shared account, only-night and gift packages though have higher usage priority.",درنظر داشته باشید در صورت خرید بیش از یک بسته، اولویت استفاده با بسته ای خواهد بود که تاریخ انقضای نزدیکتری دارد؛ بسته های اینترنت هدیه، شبانه خالص و چندکاربره اولویت مصرف بالاتری دارند.,236000,normal,fd,permitted,yes,61418,day,30,data,64418,individual,,,,,,,
prepaid,30 Days 7GB,30 روزه 7گیگ,"In case of purchasing more than one package, the ones with closer expiry dates will have higher usage priority; shared account, only-night and gift packages though have higher usage priority.",درنظر داشته باشید در صورت خرید بیش از یک بسته، اولویت استفاده با بسته ای خواهد بود که تاریخ انقضای نزدیکتری دارد؛ بسته های اینترنت هدیه، شبانه خالص و چندکاربره اولویت مصرف بالاتری دارند.,282000,normal,fd,permitted,yes,61419,day,30,data,64419,individual,,,,,,,
postpaid,30 Days 3GB (Auto Renewal),30 روزه 3گیگ (تمدید خودکار),"In case of purchasing more than one package, the ones with closer expiry dates will have higher usage priority; shared account, only-night and gift packages though have higher usage priority.",درنظر داشته باشید در صورت خرید بیش از یک بسته، اولویت استفاده با بسته ای خواهد بود که تاریخ انقضای نزدیکتری دارد؛ بسته های اینترنت هدیه، شبانه خالص و چندکاربره اولویت مصرف بالاتری دارند.,190000,normal,fd,obligatory,yes,64416,day,30,data,61416,individual,,,,,,,
